11:07:27.768 [main] INFO  ru.timokhin.lesson7.TestRunner - Все ок
11:47:04.065 [main] WARN  ru.timokhin.lesson7.TestRunner - Ни один из методов класса ru.timokhin.lesson7.TestClass не содержал аннотации BeforeSuit
11:47:16.771 [main] INFO  ru.timokhin.lesson7.TestRunner - test1 содержит аннотацию BeforeSuit
11:53:59.764 [main] INFO  ru.timokhin.lesson7.TestRunner - test1 содержит аннотацию BeforeSuit
12:00:51.054 [main] INFO  ru.timokhin.lesson7.TestRunner - test1 содержит аннотацию BeforeSuit
12:00:51.058 [main] INFO  ru.timokhin.lesson7.TestRunner - метод test1 из класса ru.timokhin.lesson7.TestClass был вызвын
12:00:51.060 [main] INFO  ru.timokhin.lesson7.TestRunner - test2 содержит аннотацию AfterSuit
12:00:51.060 [main] INFO  ru.timokhin.lesson7.TestRunner - метод test2 из класса ru.timokhin.lesson7.TestClass был вызвын
12:01:24.352 [main] INFO  ru.timokhin.lesson7.TestRunner - test1 содержит аннотацию BeforeSuit
12:01:24.357 [main] INFO  ru.timokhin.lesson7.TestRunner - метод test1 из класса ru.timokhin.lesson7.TestClass был вызвын
12:01:24.357 [main] INFO  ru.timokhin.lesson7.TestRunner - test2 содержит аннотацию AfterSuit
12:03:53.840 [main] INFO  ru.timokhin.lesson7.TestRunner - test1 содержит аннотацию BeforeSuit
12:03:53.844 [main] INFO  ru.timokhin.lesson7.TestRunner - метод test1 из класса ru.timokhin.lesson7.TestClass был вызвын
12:03:53.844 [main] INFO  ru.timokhin.lesson7.TestRunner - test3 содержит аннотацию AfterSuit
12:03:53.844 [main] INFO  ru.timokhin.lesson7.TestRunner - метод test3 из класса ru.timokhin.lesson7.TestClass был вызвын
12:03:59.676 [main] INFO  ru.timokhin.lesson7.TestRunner - test1 содержит аннотацию BeforeSuit
12:03:59.679 [main] INFO  ru.timokhin.lesson7.TestRunner - метод test1 из класса ru.timokhin.lesson7.TestClass был вызвын
12:03:59.680 [main] INFO  ru.timokhin.lesson7.TestRunner - test3 содержит аннотацию AfterSuit
12:03:59.680 [main] INFO  ru.timokhin.lesson7.TestRunner - метод test3 из класса ru.timokhin.lesson7.TestClass был вызвын
12:04:03.154 [main] INFO  ru.timokhin.lesson7.TestRunner - test1 содержит аннотацию BeforeSuit
12:04:03.157 [main] INFO  ru.timokhin.lesson7.TestRunner - метод test1 из класса ru.timokhin.lesson7.TestClass был вызвын
12:04:03.158 [main] INFO  ru.timokhin.lesson7.TestRunner - test3 содержит аннотацию AfterSuit
12:04:03.158 [main] INFO  ru.timokhin.lesson7.TestRunner - метод test3 из класса ru.timokhin.lesson7.TestClass был вызвын
12:04:21.819 [main] INFO  ru.timokhin.lesson7.TestRunner - test1 содержит аннотацию BeforeSuit
12:04:21.823 [main] INFO  ru.timokhin.lesson7.TestRunner - метод test1 из класса ru.timokhin.lesson7.TestClass был вызвын
12:04:21.823 [main] INFO  ru.timokhin.lesson7.TestRunner - test3 содержит аннотацию AfterSuit
12:04:21.823 [main] INFO  ru.timokhin.lesson7.TestRunner - метод test3 из класса ru.timokhin.lesson7.TestClass был вызвын
12:20:10.673 [main] INFO  ru.timokhin.lesson7.TestRunner - test1 содержит аннотацию @BeforeSuit
12:20:10.676 [main] INFO  ru.timokhin.lesson7.TestRunner - метод test1 из класса ru.timokhin.lesson7.TestClass был вызвын
12:20:10.677 [main] INFO  ru.timokhin.lesson7.TestRunner - из класса ru.timokhin.lesson7.TestClass было извлечино 0 методов с аннотацией @Test
12:20:10.677 [main] INFO  ru.timokhin.lesson7.TestRunner - test2 содержит аннотацию @AfterSuit
12:20:10.678 [main] INFO  ru.timokhin.lesson7.TestRunner - метод test2 из класса ru.timokhin.lesson7.TestClass был вызвын
12:20:58.780 [main] INFO  ru.timokhin.lesson7.TestRunner - test1 содержит аннотацию @BeforeSuit
12:20:58.785 [main] INFO  ru.timokhin.lesson7.TestRunner - метод test1 из класса ru.timokhin.lesson7.TestClass был вызвын
12:20:58.787 [main] INFO  ru.timokhin.lesson7.TestRunner - из класса ru.timokhin.lesson7.TestClass было извлечино 1 методов с аннотацией @Test
12:20:58.787 [main] INFO  ru.timokhin.lesson7.TestRunner - test2 содержит аннотацию @AfterSuit
12:20:58.787 [main] INFO  ru.timokhin.lesson7.TestRunner - метод test2 из класса ru.timokhin.lesson7.TestClass был вызвын
12:36:46.896 [main] INFO  ru.timokhin.lesson7.TestRunner - test1 содержит аннотацию @BeforeSuit
12:36:46.900 [main] INFO  ru.timokhin.lesson7.TestRunner - метод test1 из класса ru.timokhin.lesson7.TestClass был вызвын
12:36:46.902 [main] INFO  ru.timokhin.lesson7.TestRunner - из класса ru.timokhin.lesson7.TestClass было извлечино 0 методов с аннотацией @Test
12:36:46.902 [main] INFO  ru.timokhin.lesson7.TestRunner - test2 содержит аннотацию @AfterSuit
12:36:46.902 [main] INFO  ru.timokhin.lesson7.TestRunner - метод test2 из класса ru.timokhin.lesson7.TestClass был вызвын
12:37:44.940 [main] INFO  ru.timokhin.lesson7.TestRunner - test1 содержит аннотацию @BeforeSuit
12:37:44.944 [main] INFO  ru.timokhin.lesson7.TestRunner - метод test1 из класса ru.timokhin.lesson7.TestClass был вызвын
12:37:44.946 [main] INFO  ru.timokhin.lesson7.TestRunner - из класса ru.timokhin.lesson7.TestClass было извлечино 3 методов с аннотацией @Test
12:38:06.157 [main] INFO  ru.timokhin.lesson7.TestRunner - test1 содержит аннотацию @BeforeSuit
12:38:06.165 [main] INFO  ru.timokhin.lesson7.TestRunner - метод test1 из класса ru.timokhin.lesson7.TestClass был вызвын
12:38:06.166 [main] INFO  ru.timokhin.lesson7.TestRunner - из класса ru.timokhin.lesson7.TestClass было извлечино 3 методов с аннотацией @Test
12:39:14.566 [main] INFO  ru.timokhin.lesson7.TestRunner - test1 содержит аннотацию @BeforeSuit
12:39:14.571 [main] INFO  ru.timokhin.lesson7.TestRunner - метод test1 из класса ru.timokhin.lesson7.TestClass был вызвын
12:39:14.575 [main] INFO  ru.timokhin.lesson7.TestRunner - из класса ru.timokhin.lesson7.TestClass было извлечино 3 методов с аннотацией @Test
12:39:14.576 [main] INFO  ru.timokhin.lesson7.TestRunner - Все 3 методов с аннотацией @Test были переставлены в проядке возрастания
12:39:14.576 [main] INFO  ru.timokhin.lesson7.TestRunner - test2 содержит аннотацию @AfterSuit
12:39:14.576 [main] INFO  ru.timokhin.lesson7.TestRunner - метод test2 из класса ru.timokhin.lesson7.TestClass был вызвын
12:39:37.309 [main] INFO  ru.timokhin.lesson7.TestRunner - test1 содержит аннотацию @BeforeSuit
12:39:37.313 [main] INFO  ru.timokhin.lesson7.TestRunner - метод test1 из класса ru.timokhin.lesson7.TestClass был вызвын
12:39:37.314 [main] INFO  ru.timokhin.lesson7.TestRunner - из класса ru.timokhin.lesson7.TestClass было извлечино 3 методов с аннотацией @Test
12:39:37.315 [main] INFO  ru.timokhin.lesson7.TestRunner - Все 3 методов с аннотацией @Test были переставлены в проядке возрастания
12:39:37.315 [main] INFO  ru.timokhin.lesson7.TestRunner - test2 содержит аннотацию @AfterSuit
12:39:37.315 [main] INFO  ru.timokhin.lesson7.TestRunner - метод test2 из класса ru.timokhin.lesson7.TestClass был вызвын
12:54:21.810 [main] INFO  ru.timokhin.lesson7.TestRunner - test1 содержит аннотацию @BeforeSuit
12:54:21.814 [main] INFO  ru.timokhin.lesson7.TestRunner - метод test1 из класса ru.timokhin.lesson7.TestClass был вызвын
12:54:21.822 [main] INFO  ru.timokhin.lesson7.TestRunner - из класса ru.timokhin.lesson7.TestClass было извлечино 3 методов с аннотацией @Test
12:54:21.822 [main] INFO  ru.timokhin.lesson7.TestRunner - Все методы в количестве 3 с аннотацией @Test были переставлены в проядке возрастания
12:54:21.822 [main] INFO  ru.timokhin.lesson7.TestRunner - test2 содержит аннотацию @AfterSuit
12:54:21.822 [main] INFO  ru.timokhin.lesson7.TestRunner - метод test2 из класса ru.timokhin.lesson7.TestClass был вызвын
12:54:49.169 [main] INFO  ru.timokhin.lesson7.TestRunner - test1 содержит аннотацию @BeforeSuit
12:54:49.172 [main] INFO  ru.timokhin.lesson7.TestRunner - метод test1 из класса ru.timokhin.lesson7.TestClass был вызвын
12:54:49.174 [main] INFO  ru.timokhin.lesson7.TestRunner - из класса ru.timokhin.lesson7.TestClass было извлечино 3 методов с аннотацией @Test
12:54:49.174 [main] INFO  ru.timokhin.lesson7.TestRunner - Все методы в количестве 3 с аннотацией @Test были переставлены в проядке возрастания
12:54:49.174 [main] INFO  ru.timokhin.lesson7.TestRunner - test2 содержит аннотацию @AfterSuit
12:54:49.175 [main] INFO  ru.timokhin.lesson7.TestRunner - метод test2 из класса ru.timokhin.lesson7.TestClass был вызвын
12:55:05.279 [main] INFO  ru.timokhin.lesson7.TestRunner - test1 содержит аннотацию @BeforeSuit
12:55:05.284 [main] INFO  ru.timokhin.lesson7.TestRunner - метод test1 из класса ru.timokhin.lesson7.TestClass был вызвын
12:55:05.286 [main] INFO  ru.timokhin.lesson7.TestRunner - из класса ru.timokhin.lesson7.TestClass было извлечино 3 методов с аннотацией @Test
12:55:05.286 [main] INFO  ru.timokhin.lesson7.TestRunner - Все методы в количестве 3 с аннотацией @Test были переставлены в проядке возрастания
12:55:05.287 [main] INFO  ru.timokhin.lesson7.TestRunner - test2 содержит аннотацию @AfterSuit
12:55:05.287 [main] INFO  ru.timokhin.lesson7.TestRunner - метод test2 из класса ru.timokhin.lesson7.TestClass был вызвын
12:57:36.356 [main] INFO  ru.timokhin.lesson7.TestRunner - test1 содержит аннотацию @BeforeSuit
12:57:36.361 [main] INFO  ru.timokhin.lesson7.TestRunner - метод test1 из класса ru.timokhin.lesson7.TestClass был вызвын
12:57:36.366 [main] INFO  ru.timokhin.lesson7.TestRunner - из класса ru.timokhin.lesson7.TestClass было извлечино 3 методов с аннотацией @Test
12:57:36.367 [main] INFO  ru.timokhin.lesson7.TestRunner - Все методы в количестве 3 с аннотацией @Test были переставлены в проядке возрастания
12:57:36.367 [main] INFO  ru.timokhin.lesson7.TestRunner - test2 содержит аннотацию @AfterSuit
12:57:36.367 [main] INFO  ru.timokhin.lesson7.TestRunner - метод test2 из класса ru.timokhin.lesson7.TestClass был вызвын
13:01:03.587 [main] INFO  ru.timokhin.lesson7.TestRunner - test1 содержит аннотацию @BeforeSuit
13:01:03.596 [main] INFO  ru.timokhin.lesson7.TestRunner - метод test1 из класса ru.timokhin.lesson7.TestClass был вызвын
13:01:03.599 [main] INFO  ru.timokhin.lesson7.TestRunner - из класса ru.timokhin.lesson7.TestClass было извлечино 3 методов с аннотацией @Test
13:01:03.599 [main] INFO  ru.timokhin.lesson7.TestRunner - Все методы в количестве 3 с аннотацией @Test были переставлены в проядке возрастания
